date,district,rainfall,wind_speed,temperature,humidity,soil_moisture,region,pop_density,slope,coastal,vulnerability_index,river_level,disaster_type,hazard_score,risk_level
20250620,Parbhani,0.39,18.9,29.06,67.16,0.64,Marathwada,295,2,0,0.7,-1.65,Normal,0.0687,Low
20250403,Mumbai City,1.56,6.6,30.55,57.68,0.23,Konkan,19652,2,1,0.85,-1.68,Normal,0.0512,Low
20250926,Sindhudurg,16.83,8.7,25.0,90.99,0.9,Konkan,167,20,1,0.75,-0.95,Normal,0.0931,Low
20250619,Mumbai Suburban,55.21,18.1,27.38,90.74,0.98,Konkan,20980,3,1,0.8,-0.18,Normal,0.1384,Low
20250414,Washim,0.0,10.0,32.7,18.81,0.2,Vidarbha,244,3,0,0.65,-1.44,Normal,0.0509,Low
20250519,Raigad,13.45,7.8,28.4,82.51,0.69,Konkan,368,12,1,0.75,-1.24,Normal,0.0834,Low
20250520,Nanded,21.53,7.3,31.8,61.0,0.64,Marathwada,319,3,0,0.72,-1.35,Normal,0.0933,Low
20250928,Palghar,121.76,28.2,27.49,88.56,0.97,Konkan,362,8,1,0.7,0.09,Normal,0.2046,Low
20251018,Akola,0.14,4.9,24.32,83.53,0.82,Vidarbha,320,2,0,0.65,-1.36,Normal,0.0715,Low
20250501,Gondia,1.89,11.3,32.32,42.26,0.37,Vidarbha,253,5,0,0.7,-1.6,Normal,0.0608,Low
20250831,Ratnagiri,6.17,18.7,26.81,89.0,0.92,Konkan,197,18,1,0.8,-1.33,Normal,0.0857,Low
20250316,Nagpur,0.0,8.3,31.98,23.26,0.15,Vidarbha,470,3,0,0.7,-1.6,Normal,0.0475,Low
20250617,Amravati,5.99,15.9,30.14,62.68,0.66,Vidarbha,237,4,0,0.68,-1.18,Normal,0.0767,Low
20251001,Buldhana,0.17,4.3,25.18,79.41,0.86,Vidarbha,268,3,0,0.68,-1.48,Normal,0.0746,Low
20250807,Bhandara,7.38,4.1,28.16,80.27,0.92,Vidarbha,294,2,0,0.68,-1.52,Normal,0.0886,Low
20250512,Jalna,2.97,8.2,32.06,42.26,0.35,Marathwada,254,2,0,0.7,-1.57,Normal,0.0605,Low
20250716,Thane,9.19,10.8,26.83,90.72,0.96,Konkan,1157,5,1,0.75,-1.04,Normal,0.0907,Low
20250804,Gadchiroli,0.72,2.9,28.54,82.4,0.92,Vidarbha,74,8,0,0.85,-1.43,Normal,0.0824,Low
20250721,Dhule,1.92,8.1,29.31,71.37,0.62,Nashik Division,285,4,0,0.62,-1.5,Normal,0.0696,Low
20250729,Washim,3.21,20.6,24.47,85.13,0.82,Vidarbha,244,3,0,0.65,-1.29,Normal,0.0748,Low
20250930,Nagpur,6.7,5.2,26.26,87.83,0.95,Vidarbha,470,3,0,0.7,-1.4,Normal,0.087,Low
20250824,Nashik,9.97,20.6,22.76,92.41,0.95,Nashik Division,393,8,0,0.7,-1.18,Normal,0.0859,Low
20250401,Kolhapur,0.71,4.9,30.48,42.02,0.23,Pune Division,504,12,0,0.75,-1.46,Normal,0.0503,Low
20250620,Sindhudurg,26.37,16.6,26.76,90.61,0.96,Konkan,167,20,1,0.75,-0.72,Normal,0.1078,Low
20250816,Wardha,35.0,4.4,26.46,91.15,0.95,Vidarbha,206,2,0,0.65,-1.15,Normal,0.1156,Low
20250814,Yavatmal,15.63,5.8,26.37,87.27,0.9,Vidarbha,204,4,0,0.72,-0.52,Normal,0.0936,Low
20250709,Latur,3.18,16.2,25.86,76.21,0.74,Marathwada,343,2,0,0.75,-1.5,Normal,0.0725,Low
20250711,Chandrapur,0.2,10.1,27.13,81.5,0.89,Vidarbha,193,3,0,0.75,-1.4,Normal,0.0786,Low
20251007,Mumbai Suburban,4.27,5.3,25.81,87.87,0.93,Konkan,20980,3,1,0.8,-1.47,Normal,0.083,Low
20250321,Bhandara,0.15,9.5,30.29,29.77,0.13,Vidarbha,294,2,0,0.68,-1.58,Normal,0.0445,Low
20250728,Satara,15.77,22.7,23.22,93.08,0.97,Pune Division,287,15,0,0.7,-0.83,Normal,0.0933,Low
20251015,Thane,0.77,6.9,25.68,77.42,0.89,Konkan,1157,5,1,0.75,-1.55,Normal,0.0774,Low
20250927,Yavatmal,39.15,5.8,26.12,90.57,0.97,Vidarbha,204,4,0,0.72,-0.98,Normal,0.1203,Low
20250829,Bhandara,3.55,5.2,27.15,86.59,0.95,Vidarbha,294,2,0,0.68,-0.93,Normal,0.085,Low
20250428,Pune,0.01,7.6,30.61,41.94,0.17,Pune Division,603,10,0,0.75,-1.46,Normal,0.0468,Low
20250924,Gondia,11.65,7.9,26.08,88.05,0.94,Vidarbha,253,5,0,0.7,-1.26,Normal,0.0912,Low
20251023,Dhule,0.2,8.0,27.13,75.54,0.63,Nashik Division,285,4,0,0.62,-1.38,Normal,0.0656,Low
20251018,Chandrapur,0.0,5.4,23.84,85.37,0.89,Vidarbha,193,3,0,0.75,-1.51,Normal,0.0743,Low
20250319,Sindhudurg,0.0,8.6,29.9,52.21,0.12,Konkan,167,20,1,0.75,-1.81,Normal,0.0434,Low
20250807,Satara,1.75,6.7,23.84,93.02,0.92,Pune Division,287,15,0,0.7,-1.43,Normal,0.0776,Low
20251023,Solapur,1.12,11.4,24.95,78.55,0.8,Pune Division,290,2,0,0.7,-1.41,Normal,0.0723,Low
20251017,Hingoli,0.12,6.0,24.03,84.47,0.86,Marathwada,244,3,0,0.68,-1.41,Normal,0.0732,Low
20250926,Satara,17.73,7.1,22.98,92.47,0.93,Pune Division,287,15,0,0.7,-0.85,Normal,0.093,Low
20250927,Ahmednagar,20.96,13.8,24.01,89.72,0.91,Nashik Division,266,4,0,0.68,-1.21,Normal,0.0965,Low
20250621,Nanded,4.63,17.4,28.83,68.39,0.67,Marathwada,319,3,0,0.72,-1.6,Normal,0.0742,Low
20250316,Aurangabad,0.0,6.7,30.52,21.27,0.14,Marathwada,366,3,0,0.72,-1.44,Normal,0.0452,Low
20250918,Bhandara,7.01,4.4,26.93,88.24,0.95,Vidarbha,294,2,0,0.68,-1.78,Normal,0.0882,Low
20250515,Mumbai Suburban,3.36,5.7,30.49,69.38,0.53,Konkan,20980,3,1,0.8,-1.37,Normal,0.068,Low
20250525,Latur,2.48,15.5,27.09,77.32,0.73,Marathwada,343,2,0,0.75,-1.42,Normal,0.0728,Low
20250403,Washim,4.84,7.5,30.58,38.5,0.32,Vidarbha,244,3,0,0.65,-1.49,Normal,0.0591,Low
20250530,Raigad,3.96,13.5,28.83,82.38,0.84,Konkan,368,12,1,0.75,-1.29,Normal,0.082,Low
20250316,Yavatmal,0.0,7.7,32.08,20.15,0.14,Vidarbha,204,4,0,0.72,-1.21,Normal,0.0471,Low
20250620,Raigad,15.09,18.4,27.61,88.57,0.96,Konkan,368,12,1,0.75,-0.77,Normal,0.0976,Low
20250729,Raigad,15.29,20.4,25.62,90.33,0.98,Konkan,368,12,1,0.75,-1.05,Normal,0.0963,Low
20251011,Kolhapur,0.32,7.0,23.4,80.17,0.87,Pune Division,504,12,0,0.75,-1.53,Normal,0.0731,Low
20250617,Chandrapur,3.11,11.7,30.12,68.23,0.67,Vidarbha,193,3,0,0.75,-1.5,Normal,0.0743,Low
20250711,Parbhani,0.5,11.4,27.02,76.16,0.75,Marathwada,295,2,0,0.7,-1.6,Normal,0.0718,Low
20250308,Akola,0.0,7.4,28.18,14.21,0.16,Vidarbha,320,2,0,0.65,-1.49,Normal,0.0432,Low
20251022,Sangli,3.29,12.6,24.04,84.71,0.82,Pune Division,329,5,0,0.65,-1.35,Normal,0.0743,Low
20250807,Latur,15.17,3.6,26.0,84.79,0.87,Marathwada,343,2,0,0.75,-1.2,Normal,0.0912,Low
20251005,Sangli,0.35,8.0,22.96,87.55,0.88,Pune Division,329,5,0,0.65,-1.37,Normal,0.073,Low
20250607,Satara,13.41,7.5,25.11,88.55,0.89,Pune Division,287,15,0,0.7,-1.13,Normal,0.0893,Low
20250530,Parbhani,4.91,13.3,29.23,71.07,0.71,Marathwada,295,2,0,0.7,-1.44,Normal,0.0769,Low
20250809,Parbhani,5.98,7.3,24.83,86.55,0.81,Marathwada,295,2,0,0.7,-1.08,Normal,0.0775,Low
20250403,Aurangabad,2.7,6.3,30.45,34.73,0.24,Marathwada,366,3,0,0.72,-2.06,Normal,0.0528,Low
20250413,Sangli,0.0,9.1,30.12,29.84,0.2,Pune Division,329,5,0,0.65,-1.21,Normal,0.0477,Low
20250713,Nanded,0.02,14.0,27.58,73.52,0.72,Marathwada,319,3,0,0.72,-1.48,Normal,0.0705,Low
20250406,Jalna,0.0,7.6,31.12,17.88,0.24,Marathwada,254,2,0,0.7,-1.68,Normal,0.0509,Low
20250909,Palghar,0.18,11.4,27.37,80.37,0.94,Konkan,362,8,1,0.7,-1.41,Normal,0.0814,Low
20250831,Satara,11.63,13.1,23.88,92.61,0.95,Pune Division,287,15,0,0.7,-1.08,Normal,0.089,Low
20250609,Thane,0.19,10.0,28.45,81.76,0.8,Konkan,1157,5,1,0.75,-1.47,Normal,0.0758,Low
20250624,Buldhana,6.99,17.6,26.8,75.41,0.69,Vidarbha,268,3,0,0.68,-1.38,Normal,0.075,Low
20250318,Nandurbar,0.0,6.0,28.81,18.65,0.13,Nashik Division,277,10,0,0.72,-1.77,Normal,0.0425,Low
20250905,Ahmednagar,2.05,15.8,24.57,81.9,0.72,Nashik Division,266,4,0,0.68,-1.1,Normal,0.0688,Low
20250601,Akola,0.33,13.3,28.84,67.32,0.65,Vidarbha,320,2,0,0.65,-1.52,Normal,0.0689,Low
20250908,Ratnagiri,0.95,11.4,26.24,88.15,0.88,Konkan,197,18,1,0.8,-1.46,Normal,0.0778,Low
20250307,Solapur,0.0,6.3,27.11,8.52,0.16,Pune Division,290,2,0,0.7,-1.28,Normal,0.0419,Low
20250726,Akola,26.25,19.1,25.13,89.67,0.91,Vidarbha,320,2,0,0.65,-1.13,Normal,0.1032,Low
20250321,Nashik,0.0,8.3,25.62,37.7,0.13,Nashik Division,393,8,0,0.7,-1.66,Normal,0.0385,Low
20250906,Chandrapur,2.69,5.6,26.15,89.86,0.95,Vidarbha,193,3,0,0.75,-1.42,Normal,0.0829,Low
20250527,Gondia,3.44,5.1,31.63,61.72,0.57,Vidarbha,253,5,0,0.7,-1.21,Normal,0.0715,Low
20251028,Mumbai City,5.44,9.3,26.73,85.59,0.9,Konkan,19652,2,1,0.85,-1.27,Normal,0.0839,Low
20250326,Hingoli,0.0,4.4,30.97,14.29,0.16,Marathwada,244,3,0,0.68,-1.6,Normal,0.0467,Low
20250924,Chandrapur,10.84,9.2,26.45,89.21,0.95,Vidarbha,193,3,0,0.75,-0.96,Normal,0.0914,Low
20250411,Satara,0.03,7.7,28.21,55.12,0.23,Pune Division,287,15,0,0.7,-1.53,Normal,0.0468,Low
20250318,Mumbai City,0.02,7.0,29.41,43.21,0.21,Konkan,19652,2,1,0.85,-1.43,Normal,0.0473,Low
20250526,Osmanabad,8.67,14.0,26.84,79.23,0.78,Marathwada,219,3,0,0.75,-1.02,Normal,0.0812,Low
20250710,Jalna,0.88,10.2,25.76,77.77,0.73,Marathwada,254,2,0,0.7,-1.04,Normal,0.0696,Low
20250323,Parbhani,0.21,5.6,29.97,17.43,0.17,Marathwada,295,2,0,0.7,-1.27,Normal,0.0462,Low
20250314,Yavatmal,0.0,8.1,31.84,14.93,0.14,Vidarbha,204,4,0,0.72,-1.64,Normal,0.0468,Low
20250309,Mumbai City,0.0,8.1,30.18,39.44,0.21,Konkan,19652,2,1,0.85,-1.59,Normal,0.0482,Low
20251001,Mumbai City,7.33,12.4,25.72,90.8,0.97,Konkan,19652,2,1,0.85,-1.31,Normal,0.088,Low
20251025,Nandurbar,1.85,8.7,25.6,81.15,0.66,Nashik Division,277,10,0,0.72,-1.3,Normal,0.0668,Low
20250923,Kolhapur,2.0,10.2,22.62,89.14,0.88,Pune Division,504,12,0,0.75,-1.14,Normal,0.0743,Low
20250819,Buldhana,9.44,13.4,25.08,86.82,0.86,Vidarbha,268,3,0,0.68,-1.25,Normal,0.0838,Low
20251028,Dhule,5.2,6.9,26.29,81.25,0.71,Nashik Division,285,4,0,0.62,-1.35,Normal,0.0736,Low
20250529,Parbhani,7.75,14.6,29.31,70.84,0.72,Marathwada,295,2,0,0.7,-0.67,Normal,0.0804,Low
20250908,Nandurbar,0.73,9.3,25.21,85.97,0.85,Nashik Division,277,10,0,0.72,-1.58,Normal,0.0747,Low
20250618,Satara,31.56,21.6,25.26,92.17,0.96,Pune Division,287,15,0,0.7,-0.38,Normal,0.1111,Low
20250330,Palghar,0.38,11.7,28.67,62.53,0.23,Konkan,362,8,1,0.7,-1.26,Normal,0.0477,Low
20251012,Ratnagiri,0.1,11.6,27.55,78.64,0.81,Konkan,197,18,1,0.8,-1.44,Normal,0.075,Low
20250829,Beed,12.73,12.4,25.48,80.96,0.81,Marathwada,242,2,0,0.8,-1.36,Normal,0.0851,Low
20250923,Bhandara,0.6,5.7,26.81,84.07,0.93,Vidarbha,294,2,0,0.68,-0.86,Normal,0.0806,Low
20250505,Jalna,0.05,11.2,31.76,32.26,0.13,Marathwada,254,2,0,0.7,-1.39,Normal,0.0463,Low
20251020,Osmanabad,1.15,9.5,22.92,84.98,0.85,Marathwada,219,3,0,0.75,-1.66,Normal,0.0723,Low
20250622,Latur,0.04,20.1,27.57,68.25,0.67,Marathwada,343,2,0,0.75,-1.49,Normal,0.068,Low
20250715,Dhule,5.69,11.5,28.35,75.73,0.7,Nashik Division,285,4,0,0.62,-1.27,Normal,0.0761,Low
20250910,Akola,3.73,8.9,25.52,85.39,0.87,Vidarbha,320,2,0,0.65,-1.23,Normal,0.0791,Low
20250314,Parbhani,0.0,5.4,31.78,17.9,0.13,Marathwada,295,2,0,0.7,-1.67,Normal,0.0462,Low
20250719,Wardha,0.01,5.6,27.82,79.58,0.79,Vidarbha,206,2,0,0.65,-1.17,Normal,0.0743,Low
20250721,Ahmednagar,3.7,12.5,26.72,75.77,0.67,Nashik Division,266,4,0,0.68,-1.55,Normal,0.0706,Low
20250420,Gondia,0.0,7.5,35.05,16.94,0.2,Vidarbha,253,5,0,0.7,-1.92,Normal,0.0538,Low
20251016,Osmanabad,0.02,7.5,24.14,82.65,0.87,Marathwada,219,3,0,0.75,-1.64,Normal,0.0737,Low
20250309,Washim,0.0,7.3,27.71,17.89,0.15,Vidarbha,244,3,0,0.65,-1.6,Normal,0.0421,Low
20250714,Solapur,1.0,19.8,27.19,72.07,0.66,Pune Division,290,2,0,0.7,-1.82,Normal,0.068,Low
20250930,Bhandara,12.4,4.1,26.34,87.62,0.95,Vidarbha,294,2,0,0.68,-1.4,Normal,0.0928,Low
20250313,Washim,0.0,6.8,30.51,18.79,0.14,Vidarbha,244,3,0,0.65,-1.27,Normal,0.0451,Low
20250902,Gadchiroli,32.89,4.4,26.31,90.09,0.97,Vidarbha,74,8,0,0.85,-0.91,Normal,0.1143,Low
20250522,Raigad,23.5,4.4,27.88,85.87,0.8,Konkan,368,12,1,0.75,-0.85,Normal,0.0983,Low
20250614,Osmanabad,0.76,10.2,27.56,77.0,0.73,Marathwada,219,3,0,0.75,-1.55,Normal,0.0717,Low
20250915,Osmanabad,11.6,8.9,24.51,90.7,0.93,Marathwada,219,3,0,0.75,-1.53,Normal,0.0887,Low
20250404,Palghar,0.72,10.4,28.5,71.57,0.31,Konkan,362,8,1,0.7,-1.1,Normal,0.0518,Low
20250909,Gadchiroli,16.51,4.5,26.37,90.55,0.96,Vidarbha,74,8,0,0.85,-0.86,Normal,0.0975,Low
20250313,Sangli,0.0,6.2,29.42,32.22,0.15,Pune Division,329,5,0,0.65,-1.4,Normal,0.0443,Low
20250330,Nashik,0.0,7.7,30.64,16.25,0.12,Nashik Division,393,8,0,0.7,-1.45,Normal,0.0443,Low
20250630,Gondia,27.65,18.6,25.61,88.23,0.89,Vidarbha,253,5,0,0.7,-0.42,Normal,0.1042,Low
20250920,Jalgaon,3.91,7.6,26.22,87.78,0.81,Nashik Division,360,3,0,0.65,-1.21,Normal,0.0772,Low
20250624,Chandrapur,13.28,13.6,28.53,75.84,0.76,Vidarbha,193,3,0,0.75,-0.8,Normal,0.0869,Low
20250414,Chandrapur,0.01,4.9,34.37,19.91,0.23,Vidarbha,193,3,0,0.75,-1.65,Normal,0.0545,Low
20250926,Nashik,6.54,6.8,23.28,91.53,0.95,Nashik Division,393,8,0,0.7,-1.37,Normal,0.0831,Low
20250723,Ratnagiri,18.54,21.7,27.33,87.45,0.89,Konkan,197,18,1,0.8,-1.11,Normal,0.0972,Low
20250613,Amravati,0.3,9.0,32.0,62.59,0.57,Vidarbha,237,4,0,0.68,-1.2,Normal,0.0688,Low
20250401,Chandrapur,0.84,7.9,32.36,31.97,0.16,Vidarbha,193,3,0,0.75,-1.59,Normal,0.0493,Low
20250310,Osmanabad,0.0,10.7,28.51,32.28,0.15,Marathwada,219,3,0,0.75,-1.57,Normal,0.0431,Low
20250825,Latur,0.03,14.9,24.95,79.67,0.84,Marathwada,343,2,0,0.75,-1.19,Normal,0.0732,Low
20251013,Amravati,0.0,4.8,23.24,80.54,0.84,Vidarbha,237,4,0,0.68,-1.33,Normal,0.071,Low
20250326,Thane,0.07,7.7,29.33,51.77,0.21,Konkan,1157,5,1,0.75,-1.34,Normal,0.0472,Low
20250905,Gadchiroli,0.92,6.4,26.38,87.38,0.95,Vidarbha,74,8,0,0.85,-1.56,Normal,0.0814,Low
20250716,Sindhudurg,10.04,16.8,26.15,90.17,0.96,Konkan,167,20,1,0.75,-0.7,Normal,0.0907,Low
20250901,Akola,7.37,8.6,25.58,87.6,0.88,Vidarbha,320,2,0,0.65,-1.99,Normal,0.0833,Low
20250406,Jalgaon,0.0,7.7,32.62,14.77,0.2,Nashik Division,360,3,0,0.65,-1.58,Normal,0.0508,Low
20250608,Mumbai City,0.57,6.9,28.34,81.89,0.81,Konkan,19652,2,1,0.85,-1.39,Normal,0.0765,Low
20250305,Beed,0.0,10.7,25.51,15.02,0.15,Marathwada,242,2,0,0.8,-1.78,Normal,0.0394,Low
20250621,Gondia,5.28,11.8,29.24,69.33,0.62,Vidarbha,253,5,0,0.7,-0.96,Normal,0.0728,Low
20250410,Gadchiroli,0.76,7.1,33.48,34.48,0.2,Vidarbha,74,8,0,0.85,-1.23,Normal,0.0526,Low
20250702,Kolhapur,15.95,19.5,24.03,91.3,0.91,Pune Division,504,12,0,0.75,-0.95,Normal,0.0915,Low
20250511,Nagpur,0.43,4.3,34.79,40.11,0.37,Vidarbha,470,3,0,0.7,-1.77,Normal,0.0624,Low
20250915,Sindhudurg,11.52,10.7,25.05,91.15,0.91,Konkan,167,20,1,0.75,-1.15,Normal,0.0883,Low
20250523,Yavatmal,1.46,8.0,29.84,63.58,0.6,Vidarbha,204,4,0,0.72,-1.42,Normal,0.0688,Low
20250722,Amravati,7.6,9.6,27.15,83.48,0.8,Vidarbha,237,4,0,0.68,-1.23,Normal,0.0815,Low
20251014,Ratnagiri,0.0,13.1,27.2,78.2,0.8,Konkan,197,18,1,0.8,-1.41,Normal,0.074,Low
20250810,Hingoli,1.67,6.9,25.17,82.17,0.79,Marathwada,244,3,0,0.68,-1.49,Normal,0.0726,Low
20251023,Palghar,1.51,12.6,28.64,82.09,0.84,Konkan,362,8,1,0.7,-1.58,Normal,0.0793,Low
20250307,Satara,0.0,6.8,27.8,14.28,0.14,Pune Division,287,15,0,0.7,-1.54,Normal,0.0418,Low
20250423,Sangli,1.7,8.4,31.59,44.28,0.38,Pune Division,329,5,0,0.65,-1.53,Normal,0.0602,Low
20250815,Nagpur,5.06,4.8,26.67,87.61,0.91,Vidarbha,470,3,0,0.7,-1.02,Normal,0.0839,Low
20251007,Latur,1.22,6.7,23.78,86.18,0.93,Marathwada,343,2,0,0.75,-1.65,Normal,0.0774,Low
20250607,Beed,0.27,11.7,28.92,66.75,0.66,Marathwada,242,2,0,0.8,-1.62,Normal,0.0694,Low
20250506,Buldhana,0.63,13.3,31.49,30.2,0.18,Vidarbha,268,3,0,0.68,-1.27,Normal,0.049,Low
20250625,Pune,7.5,22.8,24.58,89.3,0.91,Pune Division,603,10,0,0.75,-1.11,Normal,0.0837,Low
20250520,Osmanabad,12.52,6.9,29.97,66.88,0.7,Marathwada,219,3,0,0.75,-1.22,Normal,0.085,Low
20250430,Pune,0.0,10.9,30.17,41.74,0.16,Pune Division,603,10,0,0.75,-1.76,Normal,0.0457,Low
20250412,Pune,0.0,10.0,27.05,49.49,0.24,Pune Division,603,10,0,0.75,-1.31,Normal,0.0458,Low
20250809,Nandurbar,0.3,9.7,25.86,82.47,0.69,Nashik Division,277,10,0,0.72,-1.63,Normal,0.0671,Low
20250829,Ratnagiri,21.9,18.6,26.68,90.24,0.93,Konkan,197,18,1,0.8,-1.34,Normal,0.1018,Low
20250817,Jalna,12.39,7.6,24.31,88.02,0.85,Marathwada,254,2,0,0.7,-0.84,Normal,0.0853,Low
20250601,Parbhani,1.73,13.3,28.55,67.88,0.65,Marathwada,295,2,0,0.7,-1.69,Normal,0.0699,Low
20251018,Ahmednagar,0.0,6.7,23.79,77.73,0.76,Nashik Division,266,4,0,0.68,-1.33,Normal,0.0677,Low
20250818,Parbhani,17.46,11.2,24.86,90.22,0.91,Marathwada,295,2,0,0.7,-1.06,Normal,0.094,Low
20250524,Sindhudurg,17.57,18.0,26.77,89.87,0.87,Konkan,167,20,1,0.75,-0.43,Normal,0.0945,Low
20250626,Raigad,11.65,18.7,27.18,88.24,0.95,Konkan,368,12,1,0.75,-1.54,Normal,0.0931,Low
20250707,Nashik,20.52,20.2,23.77,92.25,0.97,Nashik Division,393,8,0,0.7,-0.71,Normal,0.0987,Low
20250715,Yavatmal,1.13,6.5,28.18,78.66,0.8,Vidarbha,204,4,0,0.72,-1.55,Normal,0.0764,Low
20250721,Buldhana,6.89,7.1,27.68,76.16,0.76,Vidarbha,268,3,0,0.68,-1.54,Normal,0.0795,Low
20251017,Washim,0.17,5.9,23.81,84.45,0.84,Vidarbha,244,3,0,0.65,-1.34,Normal,0.0719,Low
20250517,Ratnagiri,3.41,9.0,29.23,78.72,0.42,Konkan,197,18,1,0.8,-1.45,Normal,0.0609,Low
20250709,Sangli,3.58,19.9,23.81,89.07,0.89,Pune Division,329,5,0,0.65,-1.31,Normal,0.0778,Low
20250304,Osmanabad,0.0,11.1,29.0,20.38,0.16,Marathwada,219,3,0,0.75,-1.8,Normal,0.0442,Low
20251022,Mumbai City,1.13,7.5,27.43,81.0,0.87,Konkan,19652,2,1,0.85,-1.22,Normal,0.0789,Low
20250709,Solapur,2.06,18.5,26.32,75.77,0.7,Pune Division,290,2,0,0.7,-1.06,Normal,0.07,Low
20250528,Washim,64.3,15.0,27.61,77.91,0.79,Vidarbha,244,3,0,0.65,-0.83,Normal,0.1383,Low
20250409,Amravati,0.04,5.2,34.06,22.41,0.26,Vidarbha,237,4,0,0.68,-1.1,Normal,0.0556,Low
20250409,Chandrapur,0.64,9.5,33.83,33.45,0.23,Vidarbha,193,3,0,0.75,-1.42,Normal,0.0544,Low
20250706,Palghar,27.87,28.3,28.18,84.83,0.95,Konkan,362,8,1,0.7,-0.48,Normal,0.1106,Low
20250520,Gadchiroli,0.09,7.9,35.38,43.28,0.33,Vidarbha,74,8,0,0.85,-1.26,Normal,0.0608,Low
20250306,Nanded,0.0,8.5,24.48,6.55,0.14,Marathwada,319,3,0,0.72,-1.04,Normal,0.0376,Low
20250417,Thane,0.0,7.6,30.89,58.98,0.18,Konkan,1157,5,1,0.75,-1.58,Normal,0.0476,Low
20250923,Aurangabad,5.09,10.5,24.69,87.62,0.86,Marathwada,366,3,0,0.72,-1.45,Normal,0.079,Low
20250915,Palghar,35.9,18.0,27.55,86.53,0.94,Konkan,362,8,1,0.7,-1.43,Normal,0.1173,Low
20250907,Dhule,1.44,10.3,26.54,82.41,0.75,Nashik Division,285,4,0,0.62,-1.57,Normal,0.0721,Low
20250506,Nanded,3.9,7.3,32.12,29.92,0.33,Marathwada,319,3,0,0.72,-1.67,Normal,0.0606,Low
20250614,Raigad,33.98,10.8,27.75,91.67,0.93,Konkan,368,12,1,0.75,-0.18,Normal,0.1152,Low
20251009,Sindhudurg,4.74,6.7,26.57,85.58,0.89,Konkan,167,20,1,0.75,-1.09,Normal,0.0825,Low
20250704,Gadchiroli,17.49,8.7,26.15,90.0,0.87,Vidarbha,74,8,0,0.85,-0.81,Normal,0.0937,Low
20251024,Pune,6.63,10.0,23.81,88.14,0.88,Pune Division,603,10,0,0.75,-1.48,Normal,0.0804,Low
20250609,Osmanabad,6.6,16.6,28.5,68.95,0.74,Marathwada,219,3,0,0.75,-1.53,Normal,0.0792,Low
20250724,Gadchiroli,61.9,10.9,25.59,93.85,0.99,Vidarbha,74,8,0,0.85,-0.23,Normal,0.1434,Low
20250904,Nashik,9.72,13.6,22.89,92.91,0.94,Nashik Division,393,8,0,0.7,-0.83,Normal,0.0853,Low
20250913,Akola,15.1,7.3,25.4,88.44,0.93,Vidarbha,320,2,0,0.65,-1.42,Normal,0.0934,Low
20250403,Kolhapur,1.13,6.2,29.21,52.85,0.28,Pune Division,504,12,0,0.75,-1.56,Normal,0.0516,Low
20250327,Nagpur,0.0,4.5,32.75,13.38,0.14,Vidarbha,470,3,0,0.7,-1.68,Normal,0.0479,Low
20250522,Bhandara,1.25,7.4,31.29,59.97,0.59,Vidarbha,294,2,0,0.68,-1.05,Normal,0.0699,Low
20250510,Raigad,2.92,7.2,29.16,69.76,0.63,Konkan,368,12,1,0.75,-1.48,Normal,0.0709,Low
